iter	Passed	Remaining
0	1	511
1	2	420
2	3	362
3	4	354
4	5	338
5	6	341
6	7	330
7	8	320
8	9	314
9	10	309
10	11	304
11	12	299
12	13	295
13	14	290
14	15	286
15	16	285
16	16	282
17	17	281
18	18	279
19	19	275
20	20	273
21	21	270
22	23	278
23	24	277
24	24	273
25	25	269
26	26	266
27	27	263
28	27	260
29	29	266
30	30	265
31	31	263
32	32	261
33	32	258
34	34	259
35	35	256
36	35	254
37	36	251
38	37	249
39	37	246
40	38	244
41	39	242
42	40	240
43	40	238
44	41	236
45	42	234
46	43	233
47	44	235
48	45	233
49	46	231
50	47	232
51	48	232
52	49	231
53	50	229
54	51	228
55	52	228
56	53	227
57	54	226
58	55	225
59	55	223
60	56	223
61	60	230
62	61	229
63	61	228
64	62	226
65	63	224
66	64	222
67	64	221
68	67	224
69	68	223
70	68	222
71	70	222
72	71	221
73	72	220
74	73	220
75	74	219
76	75	218
77	76	217
78	77	216
79	78	215
80	78	213
81	79	211
82	80	210
83	81	208
84	81	207
85	82	205
86	83	204
87	84	202
88	84	201
89	85	199
90	86	198
91	88	199
92	89	198
93	89	196
94	90	195
95	91	193
96	91	192
97	92	191
98	93	189
99	94	188
100	94	186
101	96	186
102	96	185
103	97	184
104	98	183
105	99	181
106	100	180
107	100	179
108	101	178
109	102	176
110	103	176
111	104	175
112	105	174
113	106	173
114	107	172
115	107	171
116	108	169
117	109	168
118	109	167
119	110	165
120	111	164
121	112	163
122	113	162
123	113	161
124	114	160
125	115	159
126	116	158
127	118	159
128	120	159
129	123	161
130	124	160
131	125	159
132	125	158
133	126	156
134	129	158
135	130	156
136	130	155
137	131	154
138	134	155
139	135	154
140	136	153
141	137	152
142	137	151
143	140	152
144	143	153
145	146	154
146	147	153
147	148	152
148	151	153
149	152	152
150	153	151
151	153	149
152	154	148
153	155	147
154	155	145
155	156	144
156	157	143
157	157	141
158	158	140
159	159	139
160	159	138
161	160	136
162	162	136
163	163	135
164	165	135
165	166	134
166	167	133
167	168	132
168	170	132
169	171	130
170	171	129
171	172	128
172	173	127
173	173	125
174	174	124
175	175	123
176	176	122
177	176	121
178	177	119
179	178	119
180	179	118
181	180	116
182	181	115
183	181	114
184	182	113
185	182	112
186	183	110
187	184	109
188	184	108
189	185	107
190	186	106
191	186	105
192	187	103
193	189	103
194	191	102
195	191	101
196	195	101
197	195	100
198	196	99
199	197	98
200	197	97
201	198	96
202	198	95
203	199	93
204	200	92
205	200	91
206	202	90
207	202	89
208	203	88
209	205	87
210	206	86
211	206	85
212	209	85
213	210	84
214	210	83
215	211	82
216	212	81
217	212	80
218	213	78
219	214	77
220	214	76
221	216	75
222	216	74
223	217	73
224	218	72
225	218	71
226	219	70
227	220	69
228	220	68
229	221	67
230	223	66
231	224	65
232	225	64
233	226	63
234	228	63
235	229	62
236	232	61
237	233	60
238	235	60
239	236	59
240	236	57
241	238	57
242	239	56
243	240	55
244	240	54
245	241	53
246	242	52
247	243	51
248	244	50
249	244	48
250	245	47
251	246	46
252	246	45
253	247	44
254	248	43
255	248	42
256	249	41
257	250	40
258	252	39
259	253	39
260	254	37
261	255	37
262	256	36
263	257	35
264	257	34
265	258	33
266	259	32
267	259	31
268	260	30
269	261	29
270	262	28
271	262	27
272	263	26
273	264	25
274	264	24
275	266	23
276	267	22
277	268	21
278	269	20
279	270	19
280	270	18
281	271	17
282	272	16
283	272	15
284	273	14
285	274	13
286	274	12
287	275	11
288	276	10
289	276	9
290	277	8
291	278	7
292	278	6
293	279	5
294	281	4
295	282	3
296	283	2
297	284	1
298	288	0
299	289	0
